"""ID""","""名称""","""描述""","""EnemyGirls1""","""EnemyGirls2""","""EnemyGirls3""","""EnemyGirls4""","""EnemyGirls5""","""EnemyGirls6""","""EnemyGirls7""","""EnemyGirls8""","""EnemyGirls9""","""EnemyGirls10"""
10001,1,,1,2,3,4,5,,,,,
10002,2,,6,7,8,9,10,,,,,
10003,3,,11,12,13,14,15,,,,,
10004,4,,1,2,3,4,5,,,,,
10005,5,,6,7,8,9,10,,,,,
10006,6,,11,12,13,14,15,,,,,
10007,7,,1,2,3,4,5,,,,,
10008,8,,6,7,8,9,10,,,,,
10009,9,,11,12,13,14,15,,,,,
10010,10,,1,2,3,4,5,,,,,
10011,11,,6,7,8,9,10,,,,,
10012,12,,11,12,13,14,15,,,,,
10013,13,,1,2,3,4,5,,,,,
10014,14,,6,7,8,9,10,,,,,
10015,15,,11,12,13,14,15,,,,,
10016,16,,1,2,3,4,5,,,,,
10017,17,,6,7,8,9,10,,,,,
10018,18,,11,12,13,14,15,,,,,
10019,19,,1,2,3,4,5,,,,,
10020,20,,6,7,8,9,10,,,,,
10021,21,,11,12,13,14,15,,,,,
10022,22,,1,2,3,4,5,,,,,
10023,23,,6,7,8,9,10,,,,,
10024,24,,11,12,13,14,15,,,,,
10025,25,,1,2,3,4,5,,,,,
10026,26,,6,7,8,9,10,,,,,
10027,27,,11,12,13,14,15,,,,,
10028,28,,1,2,3,4,5,,,,,
10029,29,,6,7,8,9,10,,,,,
10030,30,,11,12,13,14,15,,,,,
